Stock1,Stock2,Sector,EG_P,Johansen,HalfLife,RS_Exp,Beta
TECHM.NS,MPHASIS.NS,IT,0.22754,True,40.8,0.4853,0.4618
TECHM.NS,LTTS.NS,IT,7e-05,True,16.2,0.5257,0.3321
SUNPHARMA.NS,LUPIN.NS,Pharma,0.0253,True,33.0,0.5439,0.3589
AJANTPHARM.NS,FORTIS.NS,Pharma,0.16583,True,55.6,0.5351,4.8885
HEROMOTOCO.NS,BHARATFORG.NS,Auto,0.11115,True,48.6,0.5424,2.3967
PETRONET.NS,MGL.NS,Oil_Gas,0.06418,True,32.2,0.4683,0.1872
DLF.NS,PRESTIGE.NS,RealEstate,0.00889,True,19.0,0.5325,0.5648
PRESTIGE.NS,BRIGADE.NS,RealEstate,0.00148,True,14.8,0.5034,1.2667
CANBK.NS,LICHSGFIN.NS,Banking×NBFC,0.00713,True,23.1,0.5318,0.1325
PETRONET.NS,BAJAJ-AUTO.NS,Oil_Gas×Auto,0.01014,True,27.7,0.4933,0.1126
